"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,2022-05-25,767,33,0.0430247718383312,7,0.0091264667535854,23,0.029986962190352,1,0.00130378096479791,2,0.00260756192959583,0,0,33,0.0430247718383312,7,0.0091264667535854,7,0.0091264667535854,23,0.029986962190352,1,0.00130378096479791,2,0.00260756192959583,0,0,33,0.0430247718383312,2,0.00260756192959583,23,0.029986962190352,1,0.00130378096479791
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,2022-05-24,736,26,0.0353260869565217,5,0.00679347826086957,16,0.0217391304347826,2,0.00271739130434783,1,0.00135869565217391,2,0.00271739130434783,26,0.0353260869565217,5,0.00679347826086957,5,0.00679347826086957,16,0.0217391304347826,2,0.00271739130434783,1,0.00135869565217391,2,0.00271739130434783,26,0.0353260869565217,1,0.00135869565217391,18,0.0244565217391304,2,0.00271739130434783
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,2022-05-23,741,23,0.0310391363022942,7,0.00944669365721997,11,0.0148448043184885,1,0.00134952766531714,2,0.00269905533063428,2,0.00269905533063428,23,0.0310391363022942,7,0.00944669365721997,7,0.00944669365721997,11,0.0148448043184885,1,0.00134952766531714,2,0.00269905533063428,2,0.00269905533063428,23,0.0310391363022942,2,0.00269905533063428,13,0.0175438596491228,1,0.00134952766531714
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,2022-05-22,762,41,0.0538057742782152,12,0.015748031496063,19,0.0249343832020997,2,0.0026246719160105,7,0.00918635170603675,1,0.00131233595800525,41,0.0538057742782152,12,0.015748031496063,12,0.015748031496063,19,0.0249343832020997,2,0.0026246719160105,7,0.00918635170603675,1,0.00131233595800525,41,0.0538057742782152,7,0.00918635170603675,20,0.026246719160105,2,0.0026246719160105
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,2022-05-21,927,66,0.0711974110032362,21,0.0226537216828479,30,0.0323624595469256,2,0.00215749730312837,13,0.0140237324703344,0,0,66,0.0711974110032362,21,0.0226537216828479,21,0.0226537216828479,30,0.0323624595469256,2,0.00215749730312837,13,0.0140237324703344,0,0,66,0.0711974110032362,13,0.0140237324703344,30,0.0323624595469256,2,0.00215749730312837
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,2022-05-20,947,72,0.0760295670538543,22,0.0232312565997888,33,0.0348468848996832,4,0.00422386483632524,13,0.013727560718057,0,0,72,0.0760295670538543,22,0.0232312565997888,22,0.0232312565997888,33,0.0348468848996832,4,0.00422386483632524,13,0.013727560718057,0,0,72,0.0760295670538543,13,0.013727560718057,33,0.0348468848996832,4,0.00422386483632524
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,2022-05-19,782,55,0.0703324808184143,20,0.0255754475703325,17,0.0217391304347826,3,0.00383631713554987,14,0.0179028132992327,1,0.00127877237851662,55,0.0703324808184143,20,0.0255754475703325,20,0.0255754475703325,17,0.0217391304347826,3,0.00383631713554987,14,0.0179028132992327,1,0.00127877237851662,55,0.0703324808184143,14,0.0179028132992327,18,0.0230179028132992,3,0.00383631713554987
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,2022-05-18,815,67,0.0822085889570552,25,0.0306748466257669,21,0.0257668711656442,1,0.00122699386503067,20,0.0245398773006135,0,0,67,0.0822085889570552,25,0.0306748466257669,25,0.0306748466257669,21,0.0257668711656442,1,0.00122699386503067,20,0.0245398773006135,0,0,67,0.0822085889570552,20,0.0245398773006135,21,0.0257668711656442,1,0.00122699386503067
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,2022-05-17,799,65,0.081351689612015,22,0.0275344180225282,21,0.0262828535669587,2,0.00250312891113892,18,0.0225281602002503,2,0.00250312891113892,65,0.081351689612015,22,0.0275344180225282,22,0.0275344180225282,21,0.0262828535669587,2,0.00250312891113892,18,0.0225281602002503,2,0.00250312891113892,65,0.081351689612015,18,0.0225281602002503,23,0.0287859824780976,2,0.00250312891113892
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,2022-05-16,789,36,0.0456273764258555,12,0.0152091254752852,16,0.0202788339670469,1,0.00126742712294043,7,0.00887198986058302,0,0,36,0.0456273764258555,12,0.0152091254752852,12,0.0152091254752852,16,0.0202788339670469,1,0.00126742712294043,7,0.00887198986058302,0,0,36,0.0456273764258555,7,0.00887198986058302,16,0.0202788339670469,1,0.00126742712294043
"OSKARSTRÖM BLÅKLINTSVÄGEN",202219,2022-05-15,835,53,0.0634730538922156,15,0.0179640718562874,24,0.0287425149700599,3,0.00359281437125748,11,0.0131736526946108,0,0,53,0.0634730538922156,15,0.0179640718562874,15,0.0179640718562874,24,0.0287425149700599,3,0.00359281437125748,11,0.0131736526946108,0,0,53,0.0634730538922156,11,0.0131736526946108,24,0.0287425149700599,3,0.00359281437125748
"OSKARSTRÖM BLÅKLINTSVÄGEN",202219,2022-05-14,900,44,0.0488888888888889,9,0.01,28,0.0311111111111111,5,0.00555555555555556,2,0.00222222222222222,0,0,44,0.0488888888888889,9,0.01,9,0.01,28,0.0311111111111111,5,0.00555555555555556,2,0.00222222222222222,0,0,44,0.0488888888888889,2,0.00222222222222222,28,0.0311111111111111,5,0.00555555555555556
"OSKARSTRÖM BLÅKLINTSVÄGEN",202219,2022-05-13,917,58,0.0632497273718648,22,0.0239912758996728,22,0.0239912758996728,2,0.00218102508178844,11,0.0119956379498364,1,0.00109051254089422,58,0.0632497273718648,22,0.0239912758996728,22,0.0239912758996728,22,0.0239912758996728,2,0.00218102508178844,11,0.0119956379498364,1,0.00109051254089422,58,0.0632497273718648,11,0.0119956379498364,23,0.0250817884405671,2,0.00218102508178844
"OSKARSTRÖM BLÅKLINTSVÄGEN",202219,2022-05-12,759,40,0.0527009222661397,7,0.00922266139657444,22,0.0289855072463768,6,0.00790513833992095,4,0.00527009222661397,1,0.00131752305665349,40,0.0527009222661397,7,0.00922266139657444,7,0.00922266139657444,22,0.0289855072463768,6,0.00790513833992095,4,0.00527009222661397,1,0.00131752305665349,40,0.0527009222661397,4,0.00527009222661397,23,0.0303030303030303,6,0.00790513833992095
